Tweet,sentiment
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
RT @BlackAndGold277: The Value of Peter Cehlarik Down the Bruins' Homestretch https://t.co/jnfLjsc84a via @CSthinks #NHLBruins #Boston #Bru…,1
RT @BlackAndGold277: The Value of Peter Cehlarik Down the Bruins' Homestretch https://t.co/jnfLjsc84a via @CSthinks #NHLBruins #Boston #Bru…,1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
The Value of Peter Cehlarik Down the Bruins' Homestretch https://t.co/jnfLjsc84a via @CSthinks #NHLBruins #Boston #BruinsFam #NHL,1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
Bruins Shouldn’t Worry About McAvoy Contract… Yet https://t.co/aU0WqY9tpQ #THW #NHLBruins #NHL,0
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"@SavageBoston Let's Go Bruins!!! Big game tonight, boys! Make sure they know they'll have to go through Boston for the CUP!",1
Louis Domingue has faced Boston once this year. Back on December 6th at Amalie Arena. He stopped 35 of 37 shots. It was the 5th straight win at that point. https://t.co/sQrCLuQVaS,1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"2/28 Plays 

Philadelphia 76ers    3 U 🔨🔨🔨

Tailing @NOCAPNATE 

Boston Bruins            2 U 🔨🔨

#MoneyTeam #NBA #NHL",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"@NikkF07 He has no argument. He just wanted to argue, period. 
How's that made easy? This way. Total troll move. Stir it up, sit back &amp; watch the show. 
And a Bruins guy at that. ""No, Boston's got no history of racism."" (Careful where ya toss those stones, Jimmy.)",0
Boston Bruins Fan Yes I Am.,1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"Watch live now : Boston Bruins vs Tampa Bay Lightning (2019-02-28 19:30) - Free NHL Live Streams link on HD, Link AceStream, Link sopcast https://t.co/1urU1k3s7z https://t.co/se7ZShL8cF",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @WEEI: Charlie Coyle on @OMFonWEEI talks early impressions of Bruins, getting to honor fallen Weymouth police officer Michael Chesna 
ht…",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"Charlie Coyle on @OMFonWEEI talks early impressions of Bruins, getting to honor fallen Weymouth police officer Michael Chesna 
https://t.co/HNqygx4zXp",1
@j_herzzy Wrong that they are not FIRST on your list. The brawny Bruins are THE SINGLE GREATEST team in beautiful Boston. Shame! https://t.co/4jEdJfd8Vw,1
"Two of the leagues top teams face off against one another as Brayden Point leads the Tampa Bay Lightning to take on Brad Marchand and the Boston Bruins. 

Boston is 54-27-9 all-time against Tampa Bay, but this is a whole new story as the Lightning lead the league with 102 points. https://t.co/nnXwZ5jy0g",1
"For each assist during @NESN's coverage of the Boston Bruins,  Berkshire Bank will donate $100 to @Bed4EveryChild through our Exciting Assists program!  #assistingeXcitement https://t.co/l20N1SjFCE",1
"RT @HackswithHaggs: They won't go so far as to call it a measuring stick game, but the red-hot Bruins are excited to see where they stand t…",1
RT @TomCuddySports: Boston Bruins vs Tampa Bay tonite..Bruins Patrice Bergeron..”Margin for error is always thin.Even more so tonite.”@wbzn…,0
NHL- Boston Bruins (37-17-9) looking to extend points steak to 15 games tonight as they host the top team in the league Tampa Bay. Faceoff is at 7:30 at TD Garden #nhlbruins,1
RT @TomCuddySports: Boston Bruins vs Tampa Bay tonite..Bruins Patrice Bergeron..”Margin for error is always thin.Even more so tonite.”@wbzn…,0
@azraelnine I cannot stand watching leafs bruins when I’m over here because I get the Boston telecast. He’s a nightmare to listen to. It’s fucking embarrassing to the city of Boston,0
"@DonLagreca how bout bruins minus 1 1/2 after tampa went to it with rangers now having to go to Boston, just started playing hockey, went with ur caps pick tues  and flyers minus 1 1/2 +170 which also won",1
💵FREE PLAY - Tampa Bay Lightning ML (+115) to beat Boston Bruins #NHLNow #GamblingTwitter #FreePicks,1
"@3kad3 @Realitytea Great Hockey game on NHLDtv at 7:00 pm; Tampa Bay Lightning vs. Boston Bruins, a playoff preview!!
At the cave and I will keep a seat warm for you too.. 😉",1
AMAZING SEATS. #coachefamilyhashtag #nothingbeatsfamily #boston #bruins #bostonbruins @ TD Garden https://t.co/BgOMx74vOw,1
"Suddenly, the Bruins look more like contenders than the Celtics https://t.co/NdECJYvZhQ https://t.co/sV3I1skCCq",1
"@c_dot14 That loss didn’t hurt as bad as the 2 Giants losses did. Or the Red Sox blowing game 7 to the Yankees. Or the bruins giving up 2 goals in under a minute when I was already making game 7 plans. Can’t win em all, but Boston comes pretty damn close.",0
"The Boston Bruins Foundation is currently holding a 50/50 raffle with a $200,000 guaranteed jackpot in conjunction with the Corey C. Griffin NHL Alumni Pro-Am Tournament . One lucky winner will win a prize of $100,000 or more! Ends March 7!

Link to 50/50: https://t.co/gr6LDbsJL3 https://t.co/zeemeKWF5Q",1
"@EmbiidWRLD Thats cap, lets a take a look at boston 😂😂
Mookie,sale,JBJ,JD Martinez,kyrie,smart,horford,tatum,brown,literally half of the pats, and the bruins got mad stars",0
Boston Bruins vs Tampa Bay tonite..Bruins Patrice Bergeron..”Margin for error is always thin.Even more so tonite.”@wbznewsradio https://t.co/0bLjiIQIhz,0
"RT @SavageBoston: WHICH BOSTON TEAM INTERESTS YOU MORE CURRENTLY??

RT - Bruins 

Like - Celtics",1
@cbesinger I feel like Twitter is being stuck in a subway in Boston with a bunch of people going to a Bruins game and Facebook is being trapped in a parking garage after a Vikings game with a bunch of motherfuckers pretending to be polite while shitting all over you.,0
"Even though Kuch probably should’ve been called for a penalty, here’s a little shot at the Boston fans in preparation for tonight’s game: https://t.co/RxSJ5tvA51. This goal had me fucking hype.",0
https://t.co/holMsUp6Pm Bruins' Patrice Bergeron receives huge praise from NHL peers in latest player poll https://t.co/MvIK5ySgC7 https://t.co/GxYzZIBUV8,1
RT @TheHockeyWriter: Boston Bruins Prospects Primed &amp; Ready After Debuts https://t.co/yZS2bjny0m #THW #NHLBruins #NHL https://t.co/Tx3fj8Go…,1
RT @kuraleap: If you aren’t a Bruins fan and you use Shipping Up To Boston then I immediately hate you I’m sorry I really truly don’t make…,1
RT @kuraleap: If you aren’t a Bruins fan and you use Shipping Up To Boston then I immediately hate you I’m sorry I really truly don’t make…,1
Boston Bruins Prospects Primed &amp; Ready After Debuts https://t.co/yZS2bjny0m #THW #NHLBruins #NHL https://t.co/Tx3fj8GozL,1
David Pastrnak Injury Update: Bruins Forward In Cast For 2 More Weeks  CBS Boston  https://t.co/5D4WduL3ws,0
@EnforceBoston Donato isn't getting significantly more ice time than he was in Boston. It's close. The lines that he's playing on has different talent but where was he during the 34 games he played this season with Boston and only put up 9 points. Bruins coaching asking too much of him?,1
@LeDragonXII @EnforceBoston Good players are often moved in deals. This type of thing happens. Doesn't negate the need for Charlie Coyle on the Bruins. He has fit in well so far and Boston has a treasure trove of players similar to Donato and prospect ranking.,1
The #Bruins take on the Tampa Bay Lightning tonight at the TD Garden. Puck drops at 7:30 PM and don't miss the Country 102.5 Hit Song of the Game on the jumbo-tron!🏒 Get your tickets at: https://t.co/FmcP7ON2qe https://t.co/KGlSOAVr58,0
"RT @CamHasbrouck: As promised, my piece on Charlie McAvoy, the contract he denied as per @FlutoShinzawa's report, and what it means for his…",0
"As promised, my piece on Charlie McAvoy, the contract he denied as per @FlutoShinzawa's report, and what it means for his future in Boston. #NHLBruins #THW https://t.co/kX34tZJhaA",0
"RT @TheHockeyWriter: Bruins Shouldn't Worry About McAvoy Contract... Yet 
 https://t.co/BJOxKcVqa9 #THW #NHLBruins #NHL https://t.co/TDZb5A…",0
"The entire city of Boston (Pats, Celtics, Bruins, Sox) only have 10 more championships than the Yankees",1
"Bruins Shouldn't Worry About McAvoy Contract... Yet 
 https://t.co/BJOxKcVqa9 #THW #NHLBruins #NHL https://t.co/TDZb5AXtHm",0
"@TravisAllen02 Good news? How about a cool experience? This is my 7 year old grandson and his team skating at the Boston Garden between periods of a @BostonBruinsNHL game in what the Bruins call ""3 Minutes of Fame"". Imagine the thrill not only for him but the whole family! #GrandkidsRock https://t.co/jMfnVugLQL",1
"both Boston goalies received votes, which makes sense since they've both been pretty good, despite divergent starts to the year. getting Halak and a strong tandem in place while managing egos has been a big boost to the Bruins. Halak has been great last ~250 shots particularly https://t.co/yLj0SLyvyi",1
"@RearAdBsBlog $ on Bruins tonight? The bruins are rested and looking good. The Bolts, Vasilevskiy played yesterday went to OT against the Rangers. Got into Boston later then expected. However, it’s Tampa Bay they can easily be ready",1
"RiteGuys Sports NHL Play Of The Day 

New York Islanders -120 

Boston Bruins -125 

Bet Right Bet TheRiteGuys https://t.co/pgIQ3XOnBN",1
If you aren’t a Bruins fan and you use Shipping Up To Boston then I immediately hate you I’m sorry I really truly don’t make the rules,1
NEW VIDEO!!  Top 10 Boston Bruins!  https://t.co/9pVig1ot3b,1
"@PuckSoupPodcast As a Bruins fan, I’d suggest Iginla. In 2013, a deal was in place to come to the Bruins, and he scrapped the deal, preferring Bs rival, Pittsburgh. After failing to win in Pittsburgh, he signed w/ Boston the next year, lost in SC Final, and moved on. Bad look on a great player.",1
We're rooting for our four @TerrierHockey alumni tonight as the @NHLBruins take the ice for a big game! @CharlieCoyle_3 @Matt_Grzelcyk5 @CMcAvoy44 @Jakob_FK 🐾🐻 Read about our favorite Boston Bruins in BU Today's article - https://t.co/5pSQGs1vM6. #ThrowbackThursday #GoBruins https://t.co/PQdLc9NpEc,1
"RT @readyamyefire: Ah yes, my favorite NHL team, the Boston University Bruins https://t.co/K9WB3eFCP3",1
@AKvltGentleman @TOSHPOINTBRO @badtracking lol the Bruins are pretty much the only reason I'd consider moving back to Boston,1
"With confirmation that western hockey magnate Frank Patrick might enter the NHL by purchasing the Boston Bruins, there’s been some hand-wringing in the Canadian hockey establishment.

Patrick is famous for two things: radical rule changes, and expansion into American markets. https://t.co/C7By7mrbRd",1
RT @TomCuddySports: Boston Bruins Bruce Cassidy pre front running Tampa tonite..”It’s not just like a regular game.”@wbznewsradio https://t…,0
"Noel Acciari expected to play one day after his ""teeth were all over the place"" | NBC Sports Boston
https://t.co/K5RADRPgUi",1
David Krejci’s renaissance a key to Bruins’ success – Boston Herald https://t.co/QKr2lrLSS5 https://t.co/IqcXm0Vpnj,1
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,1
"RT @bpllmlibrary: Please donate new pajamas for babies, children and teens at the Lower Mills Branch Library. The annual Boston Bruins PJ D…",1
Boston Bruins Bruce Cassidy pre front running Tampa tonite..”It’s not just like a regular game.”@wbznewsradio https://t.co/7tEafBMbZk,0
"🏒(+100) Tampa Bay Lightning and Boston Bruins UNDER 6.5 goals scored🏒

Lightning (#2 in GA) VS Bruins (#4 in GA)

Tuukka Rask is #10 Save %
Bruins' games UNDER 6.5 in last 8/12
Lightning games UNDER 6.5 in last 6/12

Dec 6th: TBvBOS 5 Goals

#NHL #GamblingTwitter",1
"💸FREE NHL PICK💸

Statement game for Boston tonight vs Tampa Bay. The Lightning streak stops tonight at a rocking @tdgarden!

My second @SBRSportsPicks #FreeNHLPick of the night:

#NHLBruins MONEY LINE (-120) over #GoBolts 

Read here: https://t.co/Ci5wCvVk4z",0
"Delaware North is hiring in Boston, MA! Click the link in our bio to apply: Business Solutions Analyst - Boston Bruins &amp; TD Garden (Full Time) #Beantown #TheHub",1
"RT @TomCuddySports: Boston Bruins home to Tampa tonight. Lightning lead Bruins by 19 points! Jake DeBrusk: ”You take it as a challenge.”
@w…",1
"@SammonSez  Matt,   Tonight Tampa can't get intimidated by the Boston Bruins uniforms https://t.co/cRr2iFyYP1",0
"@GregLinnelli   Greg,   Tonight Tampa can't get intimidated by the Boston Bruins uniforms https://t.co/8pU3Hkbk8L",0
"@PhilEspo7   Phil,  Tonight Tampa can't get intimidated by the Boston Bruins uniforms https://t.co/7xApPTs3po",0
"@PierreVLeBrun Pierre,  Tonight Tampa can't get intimidated by the Boston Bruins uniforms https://t.co/zW3kFWk02o",0
"RT @nsawins: Bruins a -125 home favorite vs Lightning tonight. Total is o/u 6.5 goals. Get all tonight's NHL odds at 
https://t.co/TkaKURTp…",1
"@NHLbyMatty https://t.co/Bqe9GMAoQc
https://t.co/cteRpeZ0ZJ
https://t.co/XgBhFxc2PA
https://t.co/XjaDb9xCzN

Those are four without looking very hard.  Seguin, Shinkaruk, Hyman, Laberge.",1
"RT @BU_Tweets: Having four former @terrierhockey skaters on the @nhlbruins is too notable to ignore. — Who are they you ask? 

Here’s your…",0
"RT @BDCCeltics: .@GlobeChadFinn: Suddenly, the Bruins look more like contenders than the Celtics https://t.co/JqCxswr77U https://t.co/squvW…",1
@FeitsBarstool @KFCradio LETSSSS GOOOOOOOOOOOOO THE BRUINS ARE GOOD. TUUKKA RASK IS GOOD. BOSTON IS GOOD.,1
@stoolpresidente Bruins biggest game of the year tonight and you're going to an Islanders game... some Boston fan you are... what a joke,1
"Boston Bruins home to Tampa tonight. Lightning lead Bruins by 19 points! Jake DeBrusk: ”You take it as a challenge.”
@wbznewsradio https://t.co/3XLGZza05V",1
RT @C21NorthEast: LAST MONTH!!!! Don't forget to enter your local hero for the Boston Bruins March 27th game! Visit our website https://t.c…,1
"Oshawa Generals! Once a Gen always a Gen! Much like Eric Lindros! From here Philadelphia Flyers or Boston Bruins!   
https://t.co/HhWdYkAK2I https://t.co/bxFTX0x5GZ",1
"@spittinchiclets @ryanwhitney6 On behalf of anyone who’s ever watched a Boston Bruins broadcast, thank you for the venom you spit today.",1
"Sports News: Suddenly, the Bruins look more like contenders than the Celtics https://t.co/Xgwcw4KaVV #SportsNews",1
"RT @JoeyMacHockey: As the Bruins prepare to host the Tampa Bay Lightning, here are a few subtle reasons Boston has the intangibles to win.…",1
RT @_TyAnderson: The Bruins are on a 14-game point streak and haven't gained a single point on the Lightning. Blows my mind.,1
Looks to me like San Jose Sharks  Evander Kane was just pissed that he got dropped twice in just a couple of seconds by Boston Bruins Zdeno Chara  https://t.co/phkXskQzz4,0
"Yup, he's a hockey player. One day after his coach said his ""teeth were all over the place"" following a puck to the face, fourth line winger Noel Acciari is expected to play for the Bruins against the Tampa Bay Lightning https://t.co/vLe6U80PCg",1
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,1
".@GlobeChadFinn: Suddenly, the Bruins look more like contenders than the Celtics https://t.co/JqCxswr77U https://t.co/squvWBtbMB",1
".@GlobeChadFinn: Suddenly, the Bruins look more like contenders than the Celtics https://t.co/u9xhb88Olj https://t.co/52UZsQ5MKr",1
"One day after Noel Acciari's condition was referred to as, ""having teeth all over the place,"" he is expected to play Thursday night against the Lightning. @HackswithHaggs https://t.co/DP6V19JiMx",1
".@GlobeChadFinn: Suddenly, the Bruins look more like contenders than the Celtics https://t.co/gZGc5kT4XG https://t.co/vJYP0DfycI",1
"Bruins a -125 home favorite vs Lightning tonight. Total is o/u 6.5 goals. Get all tonight's NHL odds at 
https://t.co/TkaKURTpDB #boston #bruins #tampabay #lightning #nhlodds #nsawins #sportsbetting #vegas #sportsbook #odds #nhl #hockey #betting #handicapping #bettingtips",1
"@NoSleevesGaming @henny__16 Nah I like that the Leafs get Boston again. I’m actually fired up. I hope we get five years straight of Leafs/Boston, Leafs/Tampa, Tampa/Boston. I already hate the bruins just imagine how much more I’ll hate them",0
"I love this idea of getting terrible broadcast guys to resign with teams! Can we get the Boston Bruins to take back garbage ass Mike Milbury?

@Midday180",0
RT @CSCLtweets: CSCL is thrilled to announce Calvin Rempel and the Roadside Attractions will be performing during the intermissions of the…,1
"@hockeynight @NHLFlames Jarome Arthur-Leigh Adekunle Tig Junior Elvis Iginla is a Canadian former professional ice hockey forward. He played over 1500 games in the NHL for the Calgary Flames, Pittsburgh Penguins, Boston Bruins, Colorado Avalanche and Los Angeles Kings 

📚 https://t.co/bygBeiys7g",1
RT @RickRalphTSN: Tampa at Boston tonight.  Lightning played last night and won.  Lightning haven't lost a game since Jan. 30 at Pittsburgh…,1
@joegunn19 Back in early 2000s Montreal boo’d the US anthem when the Bruins played them in a series. Boston crowd cheered the Canadian anthem when the series came back here 🇺🇸 🤙,1
https://t.co/holMsUp6Pm No Disciplinary Hearing For Zdeno Chara; Evander Kane Not Pleased With NHL https://t.co/mPTiA5lR9p https://t.co/tD26sBXrar,0
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,1
@RTaub_ 1972 New York Rangers versus Boston Bruins was a nasty series. I was sitting behind the net when Eddie Giacomin went up to Derek Sanderson and told him they were going to get him.,0
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,1
"#NHLBruins are 8-0-2 in their last 10 games. Tonight, they face the leagues top team #GoBolts #NHL https://t.co/LSsJjYiDzJ https://t.co/tO5CAkFk8u",1
"#TBLightning and Boston #Bruins, Two of NHL’s Best and Hottest Meet - Boston is 0-5 SU in their Last 5 Games when Playing Tampa Bay #UpsetAlert - https://t.co/6KFaeconnN https://t.co/RhRQXmWyih",1
"@ryanwhitney6 An unbiased Bostonian calling out the Boston Bruins announcer Jack Edwards ... the most bias announcer in all of sports, the guy is a clown !! Well said 👏🏻",1
"RT @HackswithHaggs: They won't go so far as to call it a measuring stick game, but the red-hot Bruins are excited to see where they stand t…",1
"RT @HackswithHaggs: They won't go so far as to call it a measuring stick game, but the red-hot Bruins are excited to see where they stand t…",1
"RT @JoeyMacHockey: As the Bruins prepare to host the Tampa Bay Lightning, here are a few subtle reasons Boston has the intangibles to win.…",1
"RT @HackswithHaggs: They won't go so far as to call it a measuring stick game, but the red-hot Bruins are excited to see where they stand t…",1
LAST MONTH!!!! Don't forget to enter your local hero for the Boston Bruins March 27th game! Visit our website https://t.co/rtSSgf9kml to enter your hero by March 13th! https://t.co/fyE5fCwGOJ,1
https://t.co/holMsUp6Pm No Disciplinary Hearing For Zdeno Chara; Evander Kane Not Pleased With NHL https://t.co/Elf0cK1Xyq https://t.co/ySb2tPXNGp,0
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,1
"Blais Scores Shootout Winner, Blues Beat Bruins 2-1  CBS Boston  https://t.co/MJ05zqzAy7",1
"They won't go so far as to call it a measuring stick game, but the red-hot Bruins are excited to see where they stand tonight against ""the cream of the NHL crop"" in the Tampa Bay Lightning https://t.co/4HDv8ZcuTX",1
RT @TDotSportsGuy: Tampa has won 10 in a row and are home and cooled. Tonight they're in Boston on a B/B. If I was in Vegas I'd put $500 on…,1
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,1
"RT @StatementGames: Our NEXT @FOCOusa contest is running at https://t.co/MNbznxoAb1

VIDEO IN PINNED TWEET = HOW TO PLAY.  

Most Tournamen…",1
@s_prevot in that case u should try the Support the Boston Bruins Challenge 😏,1
RT @NBCSBoston: Where does Bruins star Patrice Bergeron rank among the best all-around players in the NHL? The guys he plays against think…,1
